
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0014"
"0.0200","0.0000","0.0016"
"0.0400","0.0000","0.0019"
"0.0600","0.0000","0.0016"
"0.0800","0.0000","0.0019"
"0.1000","0.0000","0.0027"
"0.1200","0.0000","0.0024"
"0.1400","0.0000","0.0018"
"0.1600","0.0000","0.0019"
"0.1800","0.0000","0.0025"
"0.2000","0.0000","0.0029"
"0.2200","0.0000","0.0022"
"0.2400","0.0000","0.0024"
"0.2600","0.0000","0.0029"
"0.2800","0.0000","0.0027"
"0.3000","0.0000","0.0019"
"0.3200","0.0000","0.0030"
"0.3400","0.0000","0.0025"
"0.3600","0.0000","0.0029"
"0.3800","0.0000","0.0036"
"0.4000","0.0000","0.0034"
"0.4200","0.0000","0.0038"
"0.4400","0.0000","0.0019"
"0.4600","0.0000","0.0021"
"0.4800","0.0000","0.0033"
"0.5000","0.0000","0.0036"
"0.5200","0.0000","0.0031"
"0.5400","0.0000","0.0034"
"0.5600","0.0000","0.0026"
"0.5800","0.0000","0.0024"
"0.6000","0.0000","0.0025"
"0.6200","0.0000","0.0032"
"0.6400","0.0000","0.0048"
"0.6600","0.0000","0.0045"
"0.6800","0.0000","0.0029"
"0.7000","0.0000","0.0023"
"0.7200","0.0000","0.0029"
"0.7400","0.0000","0.0033"
"0.7600","0.0000","0.0045"
"0.7800","0.0000","0.0047"
"0.8000","0.0000","0.0048"
"0.8200","0.0000","0.0036"
"0.8400","0.0000","0.0032"
"0.8600","0.0000","0.0039"
"0.8800","0.0000","0.0044"
"0.9000","0.0000","0.0043"
"0.9200","0.0000","0.0050"
"0.9400","0.0000","0.0043"
"0.9600","0.0000","0.0044"
"0.9800","0.0000","0.0043"
"1.0000","0.0000","0.0039"
"1.0200","0.0000","0.0042"
"1.0400","0.0000","0.0042"
"1.0600","0.0000","0.0043"
"1.0800","0.0000","0.0044"
"1.1000","0.0000","0.0046"
"1.1200","0.0000","0.0041"
"1.1400","0.0000","0.0048"
"1.1600","0.0000","0.0040"
"1.1800","0.0000","0.0046"
"1.2000","0.0000","0.0053"
"1.2200","0.0000","0.0039"
"1.2400","0.0000","0.0043"
"1.2600","0.0000","0.0058"
"1.2800","0.0000","0.0051"
"1.3000","0.0000","0.0038"
"1.3200","0.0000","0.0046"
"1.3400","0.0000","0.0050"
"1.3600","0.0000","0.0057"
"1.3800","0.0000","0.0054"
"1.4000","0.0000","0.0056"
"1.4200","0.0000","0.0041"
"1.4400","0.0000","0.0047"
"1.4600","0.0000","0.0051"
"1.4800","0.0000","0.0055"
"1.5000","0.0000","0.0059"
"1.5200","0.0000","0.0051"
"1.5400","0.0000","0.0054"
"1.5600","0.0000","0.0051"
"1.5800","0.0000","0.0049"
"1.6000","0.0000","0.0044"
"1.6200","0.0000","0.0064"
"1.6400","0.0000","0.0056"
"1.6600","0.0000","0.0048"
"1.6800","0.0000","0.0052"
"1.7000","0.0000","0.0051"
"1.7200","0.0000","0.0049"
"1.7400","0.0000","0.0058"
"1.7600","0.0000","0.0060"
"1.7800","0.0000","0.0056"
"1.8000","0.0000","0.0055"
"1.8200","0.0000","0.0044"
"1.8400","0.0000","0.0058"
"1.8600","0.0000","0.0064"
"1.8800","0.0000","0.0055"
"1.9000","0.0000","0.0059"
"1.9200","0.0000","0.0072"
"1.9400","0.0000","0.0051"
"1.9600","0.0000","0.0048"
"1.9800","0.0000","0.0066"
"2.0000","0.0000","0.0073"
"2.0200","0.0000","0.0066"
"2.0400","0.0000","0.0061"
"2.0600","0.0000","0.0065"
"2.0800","0.0000","0.0067"
"2.1000","0.0000","0.0067"
"2.1200","0.0000","0.0061"
