Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0001","-0.0001"
"0.0200","0.0001","0.0009"
"0.0400","0.0001","0.0013"
"0.0600","0.0001","0.0008"
"0.0800","0.0001","0.0008"
"0.1000","0.0001","0.0013"
"0.1200","0.0001","0.0000"
"0.1400","0.0001","0.0000"
"0.1600","0.0001","0.0010"
"0.1800","0.0001","-0.0003"
"0.2000","0.0001","-0.0001"
"0.2200","0.0001","0.0002"
"0.2400","0.0001","0.0003"
"0.2600","0.0001","-0.0002"
"0.2800","0.0001","0.0008"
"0.3000","0.0001","-0.0001"
"0.3200","0.0001","0.0006"
"0.3400","0.0001","-0.0004"
"0.3600","0.0001","0.0001"
"0.3800","0.0001","-0.0005"
"0.4000","0.0001","-0.0005"
"0.4200","0.0001","-0.0003"
"0.4400","0.0001","-0.0009"
"0.4600","0.0001","-0.0010"
"0.4800","0.0001","-0.0015"
"0.5000","0.0001","-0.0008"
"0.5200","0.0001","-0.0014"
"0.5400","0.0001","-0.0006"
"0.5600","0.0001","-0.0011"
"0.5800","0.0001","-0.0016"
"0.6000","0.0001","-0.0009"
"0.6200","0.0001","0.0000"
"0.6400","0.0001","-0.0014"
"0.6600","0.0001","-0.0012"
"0.6800","0.0001","0.0002"
"0.7000","0.0001","-0.0005"
"0.7200","0.0001","-0.0013"
"0.7400","0.0001","-0.0002"
"0.7600","0.0001","0.0000"
"0.7800","0.0001","-0.0009"
"0.8000","0.0001","-0.0008"
"0.8200","0.0001","-0.0002"
"0.8400","0.0001","-0.0006"
"0.8600","0.0001","0.0005"
"0.8800","0.0001","-0.0013"
"0.9000","0.0001","-0.0006"
"0.9200","0.0001","0.0001"
"0.9400","0.0001","-0.0003"
"0.9600","0.0001","-0.0003"
"0.9800","0.0001","0.0005"
"1.0000","0.0001","0.0000"
"1.0200","0.0001","-0.0009"
"1.0400","0.0001","0.0007"
"1.0600","0.0001","0.0002"
"1.0800","0.0001","-0.0009"
"1.1000","0.0001","0.0003"
"1.1200","0.0001","-0.0006"
"1.1400","0.0001","-0.0007"
"1.1600","0.0001","-0.0003"
"1.1800","0.0001","-0.0006"
"1.2000","0.0001","-0.0002"
"1.2200","0.0001","-0.0004"
"1.2400","0.0001","-0.0003"
"1.2600","0.0001","-0.0011"
"1.2800","0.0001","0.0006"
"1.3000","0.0001","0.0002"
"1.3200","0.0001","-0.0001"
"1.3400","0.0001","0.0001"
"1.3600","0.0001","0.0005"
"1.3800","0.0001","0.0003"
"1.4000","0.0001","-0.0003"
"1.4200","0.0001","0.0003"
"1.4400","0.0001","0.0002"
"1.4600","0.0001","-0.0005"
"1.4800","0.0001","0.0003"
"1.5000","0.0001","-0.0008"
"1.5200","0.0001","-0.0007"
"1.5400","0.0001","-0.0011"
"1.5600","0.0001","-0.0005"
"1.5800","0.0001","-0.0016"
"1.6000","0.0001","-0.0009"
"1.6200","0.0001","-0.0005"
"1.6400","0.0001","-0.0013"
"1.6600","0.0001","-0.0002"
"1.6800","0.0001","-0.0017"
"1.7000","0.0001","-0.0012"
"1.7200","0.0001","-0.0003"
"1.7400","0.0001","-0.0012"
"1.7600","0.0001","-0.0015"
"1.7800","0.0001","0.0001"
"1.8000","0.0001","-0.0012"
"1.8200","0.0001","-0.0004"
"1.8400","0.0001","-0.0009"
"1.8600","0.0001","-0.0002"
"1.8800","0.0001","-0.0013"
"1.9000","0.0001","0.0001"
"1.9200","0.0001","-0.0005"
"1.9400","0.0001","-0.0005"
"1.9600","0.0001","-0.0001"
"1.9800","0.0001","-0.0011"
"2.0000","0.0001","0.0005"
"2.0200","0.0001","-0.0009"
"2.0400","0.0001","-0.0002"
"2.0600","0.0001","-0.0005"
"2.0800","0.0001","-0.0004"
"2.1000","0.0001","-0.0009"
"2.1200","0.0001","-0.0004"
"2.1400","0.0001","-0.0002"
"2.1600","0.0001","-0.0013"
"2.1800","0.0001","-0.0006"
"2.2000","0.0001","-0.0006"
"2.2200","0.0001","-0.0008"
"2.2400","0.0001","-0.0007"
"2.2600","0.0001","-0.0008"
"2.2800","0.0001","-0.0007"
"2.3000","0.0001","-0.0004"
"2.3200","0.0001","-0.0014"
"2.3400","0.0001","-0.0004"
"2.3600","0.0001","-0.0006"
"2.3800","0.0001","-0.0009"
"2.4000","0.0001","-0.0001"
"2.4200","0.0001","0.0000"
"2.4400","0.0001","-0.0001"
"2.4600","0.0001","-0.0012"
"2.4800","0.0001","0.0006"
"2.5000","0.0001","-0.0014"
"2.5200","0.0001","0.0002"
"2.5400","0.0001","-0.0009"
"2.5600","0.0001","-0.0001"
"2.5800","0.0001","-0.0006"
"2.6000","0.0001","-0.0003"
"2.6200","0.0001","-0.0007"
"2.6400","0.0001","-0.0012"
"2.6600","0.0001","0.0007"
"2.6800","0.0001","-0.0012"
"2.7000","0.0001","0.0003"
"2.7200","0.0001","-0.0001"
"2.7400","0.0001","-0.0008"
"2.7600","0.0001","-0.0008"
"2.7800","0.0001","-0.0003"
"2.8000","0.0001","-0.0010"
"2.8200","0.0001","-0.0002"
"2.8400","0.0001","-0.0008"
"2.8600","0.0001","-0.0006"
"2.8800","0.0001","-0.0005"
"2.9000","0.0001","0.0003"
"2.9200","0.0001","-0.0015"
"2.9400","0.0001","0.0001"
"2.9600","0.0001","-0.0001"
"2.9800","0.0001","-0.0010"
"3.0000","0.0001","0.0006"
"3.0200","0.0001","-0.0005"
"3.0400","0.0001","0.0000"
"3.0600","0.0001","-0.0008"
"3.0800","0.0001","0.0008"
"3.1000","0.0001","-0.0009"
"3.1200","0.0001","0.0002"
"3.1400","0.0001","0.0006"
"3.1600","0.0001","0.0000"
"3.1800","0.0001","0.0002"
"3.2000","0.0001","-0.0007"
"3.2200","0.0001","0.0005"
"3.2400","0.0001","-0.0005"
"3.2600","0.0001","-0.0003"
